"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"1976","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Denmark","Current prices, euro per capita","Gross domestic product at market prices","7,860",""
"1976","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","France","Current prices, euro per capita","Gross domestic product at market prices","6,180",""
"1976","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Finland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Norway","Current prices, euro per capita","Gross domestic product at market prices","7,990",""
"1976","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Denmark","Current prices, euro per capita","Gross domestic product at market prices","8,570",""
"1977","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","France","Current prices, euro per capita","Gross domestic product at market prices","6,600",""
"1977","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Finland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Norway","Current prices, euro per capita","Gross domestic product at market prices","9,000",""
"1977","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1977","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Denmark","Current prices, euro per capita","Gross domestic product at market prices","9,290",""
"1978","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","France","Current prices, euro per capita","Gross domestic product at market prices","7,290",""
"1978","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Finland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Norway","Current prices, euro per capita","Gross domestic product at market prices","9,010",""
"1978","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1978","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Denmark","Current prices, euro per capita","Gross domestic product at market prices","10,040",""
"1979","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","France","Current prices, euro per capita","Gross domestic product at market prices","8,170",""
"1979","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Finland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Norway","Current prices, euro per capita","Gross domestic product at market prices","9,520",""
"1979","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1979","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Denmark","Current prices, euro per capita","Gross domestic product at market prices","9,990",""
"1980","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","France","Current prices, euro per capita","Gross domestic product at market prices","9,150",""
"1980","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Finland","Current prices, euro per capita","Gross domestic product at market prices","8,100",""
"1980","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Norway","Current prices, euro per capita","Gross domestic product at market prices","11,350",""
"1980","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1980","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Denmark","Current prices, euro per capita","Gross domestic product at market prices","10,860",""
"1981","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","France","Current prices, euro per capita","Gross domestic product at market prices","9,980",""
"1981","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Finland","Current prices, euro per capita","Gross domestic product at market prices","9,840",""
"1981","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Norway","Current prices, euro per capita","Gross domestic product at market prices","13,940",""
"1981","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1981","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Denmark","Current prices, euro per capita","Gross domestic product at market prices","12,060",""
"1982","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","France","Current prices, euro per capita","Gross domestic product at market prices","10,710",""
"1982","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Finland","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"1982","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Norway","Current prices, euro per capita","Gross domestic product at market prices","15,560",""
"1982","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1982","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Denmark","Current prices, euro per capita","Gross domestic product at market prices","13,340",""
"1983","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","France","Current prices, euro per capita","Gross domestic product at market prices","11,230",""
"1983","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Finland","Current prices, euro per capita","Gross domestic product at market prices","11,820",""
"1983","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Norway","Current prices, euro per capita","Gross domestic product at market prices","16,780",""
"1983","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1983","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Denmark","Current prices, euro per capita","Gross domestic product at market prices","14,700",""
"1984","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","France","Current prices, euro per capita","Gross domestic product at market prices","11,970",""
"1984","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1984","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
