"TIME","GEO","UNIT","ISCED11","SEX","DEG_URB","AGE","Value","Flag and Footnotes"
"2004","Germany (until 1990 former territory of the FRG)","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","21.1",""
"2004","Estonia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","20.4",""
"2004","Estonia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","79.6",""
"2004","Estonia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","53.2",""
"2004","Estonia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.4",""
"2004","Ireland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","38.5",""
"2004","Ireland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","61.5",""
"2004","Ireland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","36.7",""
"2004","Ireland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","24.7",""
"2004","Greece","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","41.5","b"
"2004","Greece","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","58.5","b"
"2004","Greece","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.9","b"
"2004","Greece","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","17.6","b"
"2004","Spain","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","54.6",""
"2004","Spain","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","45.4",""
"2004","Spain","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","21.1",""
"2004","Spain","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","24.3",""
"2004","France","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","36.8",""
"2004","France","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","63.2",""
"2004","France","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.8",""
"2004","France","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","22.4",""
"2004","Croatia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.4",""
"2004","Croatia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.6",""
"2004","Croatia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.2",""
"2004","Croatia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.5",""
"2004","Italy","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","52.4","b"
"2004","Italy","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","47.6","b"
"2004","Italy","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","37.8","b"
"2004","Italy","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","9.8","b"
"2004","Cyprus","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","39.2",""
"2004","Cyprus","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","60.8",""
"2004","Cyprus","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","35.1",""
"2004","Cyprus","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.7",""
"2004","Latvia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.7",""
"2004","Latvia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.3",""
"2004","Latvia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","58.4",""
"2004","Latvia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","15.9",""
"2004","Lithuania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.7",""
"2004","Lithuania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.3",""
"2004","Lithuania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","57.5",""
"2004","Lithuania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","20.8",""
"2004","Luxembourg","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","40.3",""
"2004","Luxembourg","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","59.7",""
"2004","Luxembourg","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.9",""
"2004","Luxembourg","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","20.8",""
"2004","Hungary","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","29.7",""
"2004","Hungary","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","70.3",""
"2004","Hungary","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.2",""
"2004","Hungary","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","14.1",""
"2004","Malta","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","74.2","d"
"2004","Malta","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","25.8","d"
"2004","Malta","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","15.7","d"
"2004","Malta","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.0","d"
"2004","Netherlands","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","33.7",""
"2004","Netherlands","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","66.3",""
"2004","Netherlands","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.9",""
"2004","Netherlands","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.4",""
"2004","Austria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.1","b"
"2004","Austria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.9","b"
"2004","Austria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","59.1","b"
"2004","Austria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","15.8","b"
"2004","Poland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","23.5",""
"2004","Poland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","76.5",""
"2004","Poland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","63.9",""
"2004","Poland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.6",""
"2004","Portugal","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","73.7","b"
"2004","Portugal","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","26.3","b"
"2004","Portugal","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","15.4","b"
"2004","Portugal","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.9","b"
"2004","Romania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","35.0",""
"2004","Romania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","65.0",""
"2004","Romania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.4",""
"2004","Romania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","8.6",""
"2004","Slovenia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.4",""
"2004","Slovenia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.6",""
"2004","Slovenia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","59.2",""
"2004","Slovenia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","15.4",""
"2004","Slovakia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.3",""
"2004","Slovakia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.7",""
"2004","Slovakia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","68.3",""
"2004","Slovakia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.3",""
"2004","Finland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","27.7",""
"2004","Finland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","72.3",""
"2004","Finland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","44.1",""
"2004","Finland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","28.2",""
"2004","Sweden","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.5",""
"2004","Sweden","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.5",""
"2004","Sweden","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","53.8",""
"2004","Sweden","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","24.7",""
"2004","Iceland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","45.4",""
"2004","Iceland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","54.6",""
"2004","Iceland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","31.7",""
"2004","Iceland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","22.9",""
"2004","Norway","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","17.2",""
"2004","Norway","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","82.8",""
"2004","Norway","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","54.9",""
"2004","Norway","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","27.9",""
"2004","Switzerland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.1",""
"2004","Switzerland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.9",""
"2004","Switzerland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","52.2",""
"2004","Switzerland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","23.7",""
"2004","United Kingdom","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.2","b"
"2004","United Kingdom","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.8","b"
"2004","United Kingdom","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","43.7","b"
"2004","United Kingdom","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.1","b"
"2004","Montenegro","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2004","Montenegro","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2004","Montenegro","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2004","Montenegro","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2004","North Macedonia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2004","North Macedonia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2004","North Macedonia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2004","North Macedonia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2004","Serbia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2004","Serbia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2004","Serbia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2004","Serbia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2004","Turkey","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2004","Turkey","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2004","Turkey","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2004","Turkey","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2005","Belgium","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","36.3",""
"2005","Belgium","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","63.7",""
"2005","Belgium","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","36.5",""
"2005","Belgium","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","27.2",""
"2005","Bulgaria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","33.4",""
"2005","Bulgaria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","66.6",""
"2005","Bulgaria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","48.8",""
"2005","Bulgaria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","17.8",""
"2005","Czechia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","16.8",""
"2005","Czechia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","83.2",""
"2005","Czechia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","72.2",""
"2005","Czechia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","11.0",""
"2005","Denmark","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.7",""
"2005","Denmark","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.3",""
"2005","Denmark","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","45.8",""
"2005","Denmark","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","28.5",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.8","b"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.2","b"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","54.6","b"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","20.6","b"
"2005","Estonia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","19.9",""
"2005","Estonia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","80.1",""
"2005","Estonia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","52.4",""
"2005","Estonia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","27.7",""
"2005","Ireland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","37.0",""
"2005","Ireland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","63.0",""
"2005","Ireland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","37.3",""
"2005","Ireland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.7",""
"2005","Greece","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","40.0",""
"2005","Greece","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","60.0",""
"2005","Greece","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","42.3",""
"2005","Greece","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","17.6",""
"2005","Spain","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","51.7","b"
"2005","Spain","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","48.3","b"
"2005","Spain","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","22.3","b"
"2005","Spain","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.1","b"
"2005","France","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","35.5",""
"2005","France","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","64.5",""
"2005","France","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","41.1",""
"2005","France","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","23.4",""
"2005","Croatia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","29.3",""
"2005","Croatia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","70.7",""
"2005","Croatia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","57.3",""
"2005","Croatia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.4",""
"2005","Italy","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","50.6",""
"2005","Italy","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","49.4",""
"2005","Italy","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.6",""
"2005","Italy","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.8",""
"2005","Cyprus","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","36.2",""
"2005","Cyprus","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","63.8",""
"2005","Cyprus","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.1",""
"2005","Cyprus","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.7",""
"2005","Latvia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.6",""
"2005","Latvia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.4",""
"2005","Latvia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","58.5",""
"2005","Latvia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","16.9",""
"2005","Lithuania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","20.8",""
"2005","Lithuania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","79.2",""
"2005","Lithuania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.9",""
"2005","Lithuania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","22.4",""
"2005","Luxembourg","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","38.7",""
"2005","Luxembourg","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","61.3",""
"2005","Luxembourg","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.3",""
"2005","Luxembourg","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","23.0",""
"2005","Hungary","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","28.5",""
"2005","Hungary","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","71.5",""
"2005","Hungary","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.9",""
"2005","Hungary","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","14.5",""
"2005","Malta","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","68.9","b"
"2005","Malta","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","31.1","b"
"2005","Malta","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","20.7","b"
"2005","Malta","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.3","b"
"2005","Netherlands","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","34.5","b"
"2005","Netherlands","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","65.5","b"
"2005","Netherlands","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","41.0","b"
"2005","Netherlands","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","24.5","b"
"2005","Austria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.5",""
"2005","Austria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.5",""
"2005","Austria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","60.5",""
"2005","Austria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","15.0",""
"2005","Poland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.8",""
"2005","Poland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.2",""
"2005","Poland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","64.3",""
"2005","Poland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.9",""
